User Name,Nickname,Favs,Rts,Favs+RTs,Tweet content,Hour,Date (YYYY-MM-DD),Date (DD-MM-YYYY),Time Code (UTC)
Chuck Comeau,chuckcomeau,172,51,223,I love being on tour and doing the post-game Pizza Parties so much that I decided to throw my… https://t.co/Z4lzHxRcaP,17:01:52,2016-04-15,15-04-2016,2016-04-15T17:01:52Z
Tanya Burr,TanyaBurr,165,37,202,💗 @ Parker Palm Springs https://t.co/A2GQZ7ITnP,00:04:32,2016-04-16,16-04-2016,2016-04-16T00:04:32Z
CHA CHA MALONE,CHACHAAOM,94,64,158,"Ran into Tablo ☝🏾️언제 #AOMG #highground @ Los Angeles, California https://t.co/IQ5QGNxAyg",10:29:40,2016-04-16,16-04-2016,2016-04-16T10:29:40Z
Yo Gotti,YoGottiKOM,83,74,157,"Let's Talk Money💰&amp; OWNERSHIP... @ Manhattan, New York https://t.co/hek7XpyCdr",17:20:47,2016-04-15,15-04-2016,2016-04-15T17:20:47Z
GOMITA,GOMITA_OFICIAL,110,39,149,"Ya pueden comprar los producgos de mi querido campeon @chiquitaglz 
Entren a su pag de face… https://t.co/hPdyBHlg8g",23:25:49,2016-04-14,14-04-2016,2016-04-14T23:25:49Z
Ferny Graciano,FernyGraciano,101,24,125,"#jorgeayalaparis #MBFWMx 
Love it ❤️
@ay_astudio @ Auditorio BlackBerry https://t.co/o3AMGTUrsT",23:21:35,2016-04-14,14-04-2016,2016-04-14T23:21:35Z
Nick Mara,TheRealNickMara,93,23,116,"TURNT!!!😎.....still pissed I didnt fully land it @ North Hollywood, California https://t.co/SqQOVyopvZ",16:45:07,2016-04-14,14-04-2016,2016-04-14T16:45:07Z
Willam,willam,100,12,112,Please be honest and comment which Drag Race girl this looks. Tag her in fact. Yknow for fun. @… https://t.co/jmni1fLqvR,01:06:48,2016-04-16,16-04-2016,2016-04-16T01:06:48Z
Willam,willam,104,6,110,"Does anyone else let their Jeep do their hair for them? @ West Hollywood, California https://t.co/4XSjCOyZfJ",19:00:08,2016-04-14,14-04-2016,2016-04-14T19:00:08Z
WEREVERTUMORRO,werevertumorro,96,14,110,Last night!! @ La Santa Puerto Vallarta https://t.co/pvabr9lOGI,05:47:09,2016-04-16,16-04-2016,2016-04-16T05:47:09Z
Gabriel Melendres,GABYBRV1,65,34,99,https://t.co/QllfPFpT0T,20:37:25,2016-04-14,14-04-2016,2016-04-14T20:37:25Z
Nick Mara,TheRealNickMara,72,19,91,"Waves🌊🌊🌊 @ Santa Monica, California https://t.co/8XtemGyIHB",10:00:20,2016-04-15,15-04-2016,2016-04-15T10:00:20Z
Occupy Wall Street,OccupyWallStNYC,49,42,91,Bernie Should Run Independent and Launch a New Party for the 99%  https://t.co/6xvakz7t7Y #OWS #OccupyWallStreet #BernieSanders #FeelTheBern,06:50:11,2016-04-15,15-04-2016,2016-04-15T06:50:11Z
Chris Weidman,ChrisWeidmanUFC,70,21,91,🙌 @ Madison Square Garden https://t.co/zUYxY8bHt7,16:51:23,2016-04-14,14-04-2016,2016-04-14T16:51:23Z
Jordan Sasser,JordanSasser,48,41,89,"#TBT to when justinbieber finally got to meet me.. 😂 HAha, KIDDING. What's funny is that I told… https://t.co/igrlL1CSBN",01:01:06,2016-04-15,15-04-2016,2016-04-15T01:01:06Z
Andrea Feczko,AndreaFeczko,78,10,88,Getting #coachella ready with my ninja/man bun // Hair: @brightonsalons Dress: @elizandjames… https://t.co/q5egjQKq4a,05:56:24,2016-04-15,15-04-2016,2016-04-15T05:56:24Z
Mara P Castañeda,MaraCastaneda,57,30,87,Aunque no tienes redes mi adorado #fernandocolunga te hago llegar mi agradecimiento y cariño. Un… https://t.co/ofjrcp1spV,10:13:13,2016-04-14,14-04-2016,2016-04-14T10:13:13Z
